0.01,-2.5017
0.02,-4.4178
0.03,-6.4109
0.04,-8.0297
0.05,-8.8444
0.06,-8.5962
0.07,-7.2832
0.08,-5.1539
0.09,-2.6224
0.1,-0.13109
0.11,1.9791
0.12,3.5403
0.13,4.5647
0.14,5.1924
0.15,5.6137
0.16,6.0053
0.17,6.4651
0.18,7.0053
0.19,7.5525
0.2,7.9686
0.21,8.0875
0.22,7.7588
0.23,6.8917
0.24,5.4983
0.25,3.7063
0.26,1.7395
0.27,-0.12935
0.28,-1.6451
0.29,-2.6399
0.3,-3.0647
0.31,-2.9895
0.32,-2.5647
0.33,-1.9685
0.34,-1.3654
0.35,-0.86886
0.36,-0.55068
0.37,-0.43005
0.38,-0.48949
0.39,-0.6783
0.4,-0.91781
0.41,-1.1136
0.42,-1.1731
0.43,-1.0384
0.44,-0.70103
0.45,-0.19753
0.46,0.40387
0.47,1.0385
0.48,1.6661
0.49,2.285
0.5,2.9091
0.51,3.535
0.52,4.1347
0.53,4.6399
0.54,4.9651
0.55,5.0473
0.56,4.8619
0.57,4.4354
0.58,3.827
0.59,3.0945
0.6,2.2658
0.61,1.3392
0.62,0.28849
0.63,-0.89683
0.64,-2.1888
0.65,-3.5
0.66,-4.6853
0.67,-5.5699
0.68,-5.9755
0.69,-5.7745
0.7,-4.9108
0.71,-3.4266
0.72,-1.4685
0.73,0.72555
0.74,2.8654
0.75,4.6539
0.76,5.8585
0.77,6.3515
0.78,6.1522
0.79,5.4231
0.8,4.4406
0.81,3.5403
0.82,3.035
0.83,3.1661
0.84,4.042
0.85,5.6364
0.86,7.7903
0.87,10.255
0.88,12.743
0.89,14.969
0.9,16.696
0.91,17.762
0.92,18.088
0.93,17.68
0.94,16.63
0.95,15.096
0.96,13.266
0.97,11.336
0.98,9.4756
0.99,7.8095
1,6.4127
1.01,5.32
1.02,4.5525
1.03,4.1207
1.04,4.0263
1.05,4.2396
1.06,4.6819
1.07,5.2116
1.08,5.6469
1.09,5.8008
1.1,5.5333
1.11,4.806
1.12,3.6854
1.13,2.3287
1.14,0.92835
1.15,-0.34263
1.16,-1.3671
1.17,-2.1084
1.18,-2.5769
1.19,-2.8112
1.2,-2.8374
1.21,-2.6661
1.22,-2.3024
1.23,-1.771
1.24,-1.1416
1.25,-0.51571
1.26,-0.02445
1.27,0.22205
1.28,0.16786
1.29,-0.1748
1.3,-0.72026
1.31,-1.3426
1.32,-1.9143
1.33,-2.3461
1.34,-2.5996
1.35,-2.6818
1.36,-2.6241
1.37,-2.4563
1.38,-2.1905
1.39,-1.8461
1.4,-1.4615
1.41,-1.1189
1.42,-0.94404
1.43,-1.0752
1.44,-1.6101
1.45,-2.5559
1.46,-3.8059
1.47,-5.1608
1.48,-6.3759
1.49,-7.2448
1.5,-7.6364
1.51,-7.5262
1.52,-6.9808
1.53,-6.1206
1.54,-5.0699
1.55,-3.9493
1.56,-2.8461
1.57,-1.8217
1.58,-0.91781
1.59,-0.15907
1.6,0.44234
1.61,0.88115
1.62,1.1469
1.63,1.2343
1.64,1.1312
1.65,0.83744
1.66,0.36891
1.67,-0.229
1.68,-0.89334
1.69,-1.5507
1.7,-2.1398
1.71,-2.6136
1.72,-2.9528
1.73,-3.1468
1.74,-3.2045
1.75,-3.1364
1.76,-2.9755
1.77,-2.7727
1.78,-2.6119
1.79,-2.5909
1.8,-2.8094
1.81,-3.3409
1.82,-4.208
1.83,-5.3689
1.84,-6.7098
1.85,-8.0595
1.86,-9.2028
1.87,-9.9354
1.88,-10.079
1.89,-9.528
1.9,-8.271
1.91,-6.4039
1.92,-4.1049
1.93,-1.6206
1.94,0.77451
1.95,2.82
1.96,4.3042
1.97,5.0892
1.98,5.1434
1.99,4.549
2,3.5035
2.01,2.292
2.02,1.2448
2.03,0.6801
2.04,0.82521
2.05,1.7693
2.06,3.4371
2.07,5.5997
2.08,7.9214
2.09,10.04
2.1,11.64
2.11,12.519
2.12,12.61
2.13,11.981
2.14,10.787
2.15,9.2116
2.16,7.4266
2.17,5.5525
2.18,3.6591
2.19,1.7937
2.2,-0.0034712
2.21,-1.6696
2.22,-3.1311
2.23,-4.3129
2.24,-5.1626
2.25,-5.6748
2.26,-5.8881
2.27,-5.8776
2.28,-5.7465
2.29,-5.5839
2.3,-5.479
2.31,-5.486
2.32,-5.6416
2.33,-5.9388
2.34,-6.3304
2.35,-6.7116
2.36,-6.9528
2.37,-6.8986
2.38,-6.4283
2.39,-5.4948
